Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11275786,2,"Saturday, March 30, 2013 18:24:53 UTC",33.4900,-116.4565,1.1,10.80,29,"Southern California"
us,b000fwm1,4,"Saturday, March 30, 2013 18:11:06 UTC",0.5911,124.0171,4.9,153.10,64,"Minahasa, Sulawesi, Indonesia"
us,b000fwlj,D,"Saturday, March 30, 2013 18:03:47 UTC",12.2178,143.9022,5.4,34.60,322,"Guam region"
us,b000fwlh,4,"Saturday, March 30, 2013 17:58:49 UTC",-7.1116,129.2693,4.5,166.70,44,"Kepulauan Babar, Indonesia"
us,b000fwkl,E,"Saturday, March 30, 2013 17:30:48 UTC",-9.4041,-79.0391,5.4,43.90,593,"off the coast of northern Peru"
ak,10684270,3,"Saturday, March 30, 2013 17:16:18 UTC",63.0893,-150.3306,1.0,92.60,12,"Central Alaska"
ak,10684268,2,"Saturday, March 30, 2013 17:11:41 UTC",51.8880,-176.5122,2.1,66.60, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10686927,2,"Saturday, March 30, 2013 17:07:12 UTC",53.9080,-165.5179,1.7,62.90,12,"Fox Islands, Aleutian Islands, Alaska"
nc,71963335,2,"Saturday, March 30, 2013 16:47:23 UTC",37.3763,-122.2018,1.1,5.30,20,"San Francisco Bay area, California"
ak,10686925,2,"Saturday, March 30, 2013 16:44:44 UTC",61.9544,-151.8890,1.6,107.50,15,"Southern Alaska"
nn,00407915,1,"Saturday, March 30, 2013 16:35:59 UTC",39.0539,-118.1716,2.9,9.00,12,"Nevada"
ak,10684257,2,"Saturday, March 30, 2013 16:35:38 UTC",63.3473,-150.3078,1.2,14.40,17,"Central Alaska"
nc,71963320,2,"Saturday, March 30, 2013 16:30:48 UTC",36.5930,-120.8520,1.5,5.20,23,"Central California"
ci,11275722,1,"Saturday, March 30, 2013 16:05:14 UTC",33.8057,-116.0948,1.2,0.30,37,"Southern California"
nc,71963315,2,"Saturday, March 30, 2013 15:59:55 UTC",38.4618,-122.5143,1.1,5.40,15,"Northern California"
ak,10684250,2,"Saturday, March 30, 2013 15:58:37 UTC",63.2717,-149.6420,1.1,93.30,20,"Central Alaska"
ci,11275698,1,"Saturday, March 30, 2013 15:34:22 UTC",32.7037,-115.7522,1.4,7.80,16,"Southern California"
nc,71963300,0,"Saturday, March 30, 2013 15:32:54 UTC",38.7988,-122.7382,1.0,1.90,13,"Northern California"
uw,60513232,2,"Saturday, March 30, 2013 15:28:14 UTC",48.3028,-124.8072,1.6,24.80,17,"offshore Washington"
nc,71963295,0,"Saturday, March 30, 2013 15:24:14 UTC",38.8278,-122.8335,1.0,2.50,19,"Northern California"
ci,11275690,2,"Saturday, March 30, 2013 15:20:18 UTC",33.4878,-116.4407,2.4,8.40,84,"Southern California"
ak,10684231,2,"Saturday, March 30, 2013 15:18:59 UTC",60.9207,-152.4703,2.4,128.30,48,"Southern Alaska"
ak,10684224,2,"Saturday, March 30, 2013 15:13:06 UTC",63.2671,-151.0793,1.1,15.90,16,"Central Alaska"
ci,11275666,1,"Saturday, March 30, 2013 15:05:11 UTC",33.1552,-115.6480,1.5,0.20,28,"Southern California"
ci,11275642,2,"Saturday, March 30, 2013 14:58:00 UTC",33.6645,-117.9037,1.0,3.80, 9,"Greater Los Angeles area, California"
nc,71963280,2,"Saturday, March 30, 2013 14:57:07 UTC",37.4158,-118.5910,1.5,11.40,32,"Central California"
ak,10686919,2,"Saturday, March 30, 2013 14:49:49 UTC",62.9628,-150.4970,1.0,99.00,10,"Central Alaska"
ci,11275634,3,"Saturday, March 30, 2013 14:48:59 UTC",33.1550,-115.6452,1.1,1.40,24,"Southern California"
ci,11275626,2,"Saturday, March 30, 2013 14:45:16 UTC",33.8030,-116.0900,1.6,3.90,58,"Southern California"
ci,11275618,2,"Saturday, March 30, 2013 14:45:09 UTC",33.8038,-116.0917,1.1,2.20,31,"Southern California"
